Frame_Number,Time,TouchLeft,TouchRight,Box_FencerID1,Box_FencerID2,SkeletonID1,SkeletonID2
204,1.7017,0,0,"1145,797,1417,1358","921,810,1261,1356","1328,859;1283,906;1210,970;1176,1031;1305,1054;1300,1184;1256,1302;1375,912;1387,997;1368,1074;1348,1050;1317,1173;1288,1298","1069,881;997,929;978,1005;962,1059;1031,1079;1111,1198;1183,1299;1099,937;1107,1005;1112,1007;1078,1080;1009,1197;1020,1310"
205,1.7100416666666667,0,0,"1146,798,1415,1358","911,811,1247,1357","1312,856;1273,914;1216,990;1160,1031;1283,1059;1281,1185;1254,1310;1366,908;1363,994;1347,1083;1338,1056;1329,1185;1303,1312","1068,878;989,927;965,1002;949,1058;1019,1082;1103,1200;1170,1296;1098,937;1105,1007;1104,1002;1070,1083;989,1199;987,1307"
206,1.7183833333333334,0,0,"1147,797,1415,1357","901,813,1234,1356","1319,851;1269,904;1204,974;1165,1034;1289,1050;1296,1187;1261,1307;1379,908;1381,1000;1372,1087;1345,1050;1329,1168;1309,1301","1065,881;982,930;951,1005;936,1062;1012,1084;1100,1201;1168,1297;1092,939;1095,1008;1091,1005;1061,1084;982,1200;975,1307"
207,1.726725,0,0,"1148,798,1413,1355","887,814,1222,1357","1314,857;1269,908;1204,980;1167,1033;1290,1054;1292,1186;1261,1306;1371,910;1380,1002;1372,1086;1342,1052;1326,1173;1308,1300","1049,876;981,933;927,1005;895,1055;1006,1093;1106,1206;1192,1314;1097,930;1103,1013;1085,1029;1061,1087;966,1198;931,1316"
208,1.7350666666666668,0,0,"1147,794,1412,1354","873,812,1214,1361","1315,854;1267,907;1203,981;1167,1032;1286,1055;1292,1187;1266,1307;1373,909;1380,1004;1372,1086;1340,1054;1324,1176;1308,1300","1044,873;963,929;923,1002;894,1060;993,1092;1103,1209;1189,1306;1083,935;1090,1018;1070,1016;1048,1091;939,1206;914,1316"
209,1.7434083333333334,0,0,"1147,790,1411,1354","862,807,1209,1364","1309,855;1266,908;1204,980;1164,1029;1286,1055;1290,1185;1265,1305;1369,910;1380,1005;1370,1086;1342,1054;1325,1175;1308,1300","1037,869;953,928;908,1001;879,1061;982,1095;1095,1209;1174,1304;1076,934;1083,1020;1059,1015;1038,1094;924,1205;890,1315"
210,1.7517500000000001,0,0,"1150,792,1411,1353","843,804,1197,1365","1308,860;1269,916;1215,990;1157,1026;1281,1058;1279,1181;1261,1305;1365,912;1366,995;1350,1083;1339,1056;1331,1181;1309,1305","1028,867;945,926;900,1001;875,1059;971,1094;1086,1207;1167,1309;1060,931;1064,1015;1043,1011;1023,1091;912,1205;880,1319"
211,1.7600916666666666,0,0,"1154,792,1413,1352","831,800,1190,1364","1307,856;1266,911;1207,983;1158,1026;1286,1055;1286,1182;1263,1306;1367,911;1376,1003;1368,1085;1341,1055;1325,1175;1305,1300","1020,866;935,927;888,1003;864,1062;963,1094;1079,1206;1161,1312;1049,930;1052,1016;1030,1014;1013,1091;902,1205;869,1322"
212,1.7684333333333333,0,0,"1155,791,1412,1351","817,799,1180,1363","1306,860;1268,914;1217,982;1171,1024;1278,1054;1282,1184;1263,1304;1365,916;1373,1007;1359,1087;1337,1055;1321,1172;1299,1300","1003,875;943,943;861,1008;843,1037;957,1109;1058,1216;1142,1330;1045,924;1044,1004;1028,1022;1000,1100;929,1221;867,1331"
213,1.776775,0,0,"1157,793,1411,1351","805,800,1173,1367","1300,859;1264,915;1216,984;1168,1026;1276,1057;1278,1185;1259,1305;1361,916;1372,1009;1359,1087;1336,1058;1320,1174;1296,1301","994,885;937,951;857,1013;839,1038;944,1114;1054,1218;1149,1326;1034,931;1030,1005;1013,1017;987,1103;922,1224;861,1327"
